# git_sha=91bdb973b9ce646a9508c9dd17abe9efc2198ff6
# thermal_md5=6b0ecfc0353686a3534939ac9eff9a0e
# organism_md5=8882eac48ee3e4932e643650e75e0732
# physiology_md5=af16830e7f15c5cf9848c8eb694e99c8
# prereg_md5=a7d25919e942f6bdc2894e16f1311c90
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-11T04:06:11-04:00
class,omega,r_au,t_eq,response,net_carbon
algal,10,0.5,393.5914,1.92427e-58,-256.044
algal,10,0.513491,388.3865,2.38971e-53,-178.497
algal,10,0.527346,383.2505,1.49416e-48,-125.032
algal,10,0.541575,378.1823,4.81307e-44,-87.9942
algal,10,0.556188,373.1812,8.16829e-40,-62.2164
algal,10,0.571196,368.2462,7.46364e-36,-44.1923
algal,10,0.586608,363.3764,3.75e-32,-31.5321
algal,10,0.602436,358.5711,1.05744e-28,-22.5994
algal,10,0.618691,353.8293,1.70705e-25,-16.2688
algal,10,0.635385,349.1502,1.60832e-22,-11.7625
algal,10,0.652529,344.5330,9.01066e-20,-8.541
algal,10,0.670135,339.9768,3.0569e-17,-6.22809
algal,10,0.688217,335.4809,6.3914e-15,-4.56053
algal,10,0.706787,331.0445,8.37771e-13,-3.35324
algal,10,0.725858,326.6667,6.99959e-11,-2.4756
algal,10,0.745443,322.3468,3.78814e-09,-1.83501
algal,10,0.765557,318.0841,1.34886e-07,-1.36558
algal,10,0.786213,313.8777,3.20831e-06,-1.02018
algal,10,0.807427,309.7269,5.1729e-05,-0.764627
algal,10,0.829213,305.6311,0.000573497,-0.570326
algal,10,0.851588,301.5893,0.00443276,-0.391225
algal,10,0.874565,297.6011,0.0242096,-0.0895846
algal,10,0.898163,293.6656,0.0946496,0.688876
algal,10,0.922398,289.7821,0.268254,2.47173
algal,10,0.947286,285.9500,0.557935,5.39092
algal,10,0.972846,282.1685,0.861748,8.43711
algal,10,0.999096,278.4371,0.999841,9.82889
algal,10,1.02605,274.7550,0.881207,8.66805
algal,10,1.05374,271.1216,0.596367,5.8566
algal,10,1.08217,267.5363,0.313177,3.06057
algal,10,1.11137,263.9983,0.128918,1.24397
algal,10,1.14136,260.5072,0.042011,0.390381
algal,10,1.17215,257.0622,0.0109415,0.0883045
algal,10,1.20378,253.6628,0.00229863,0.00700828
algal,10,1.23626,250.3083,0.000393035,-0.00856578
algal,10,1.26962,246.9982,5.51731e-05,-0.00935061
algal,10,1.30388,243.7318,6.41225e-06,-0.00782704
algal,10,1.33906,240.5087,6.22035e-07,-0.0063044
algal,10,1.37519,237.3282,5.07651e-08,-0.0050615
algal,10,1.4123,234.1897,3.51219e-09,-0.00407232
algal,10,1.4504,231.0928,2.07522e-10,-0.00328562
algal,10,1.48954,228.0368,1.05471e-11,-0.00265842
algal,10,1.52973,225.0212,4.64301e-13,-0.00215697
algal,10,1.571,222.0455,1.78227e-14,-0.00175496
algal,10,1.61339,219.1091,6.00448e-16,-0.00143177
algal,10,1.65693,216.2116,1.78665e-17,-0.00117125
algal,10,1.70163,213.3524,4.72393e-19,-0.000960679
algal,10,1.74755,210.5310,1.11642e-20,-0.000790034
algal,10,1.7947,207.7469,2.37183e-22,-0.000651383
algal,10,1.84313,204.9996,4.55473e-24,-0.000538437
algal,10,1.89286,202.2887,7.94843e-26,-0.000446198
algal,10,1.94393,199.6136,1.267e-27,-0.00037068
algal,10,1.99638,196.9738,1.85401e-29,-0.000308699
algal,10,2.05025,194.3690,2.50254e-31,-0.000257705
algal,10,2.10557,191.7987,3.13044e-33,-0.000215649
algal,10,2.16239,189.2623,3.64536e-35,-0.000180882
algal,10,2.22073,186.7595,3.96894e-37,-0.000152073
algal,10,2.28065,184.2897,4.05726e-39,-0.000128146
algal,10,2.34219,181.8527,3.91002e-41,-0.000108229
algal,10,2.40539,179.4478,3.56629e-43,-9.16115e-05
algal,10,2.47029,177.0748,3.09022e-45,-7.77167e-05
algal,10,2.53694,174.7331,2.55321e-47,-6.60729e-05
algal,10,2.6054,172.4224,2.01856e-49,-5.62943e-05
algal,10,2.6757,170.1423,1.53226e-51,-4.80646e-05
algal,10,2.74789,167.8923,1.12044e-53,-4.11239e-05
algal,10,2.82204,165.6721,7.91751e-56,-3.52581e-05
algal,10,2.89818,163.4812,5.42324e-58,-3.02905e-05
algal,10,2.97638,161.3193,3.61146e-60,-2.60752e-05
algal,10,3.05669,159.1860,2.34475e-62,-2.2491e-05
algal,10,3.13917,157.0809,1.48829e-64,-1.94374e-05
algal,10,3.22387,155.0036,9.25997e-67,-1.68309e-05
algal,10,3.31086,152.9538,5.66193e-69,-1.46016e-05
algal,10,3.40019,150.9312,3.41051e-71,-1.26915e-05
algal,10,3.49194,148.9352,2.02861e-73,-1.10517e-05
algal,10,3.58616,146.9657,1.19424e-75,-9.6414e-06
algal,10,3.68292,145.0222,6.97342e-78,-8.42627e-06
algal,10,3.78229,143.1044,4.04743e-80,-7.37741e-06
algal,10,3.88435,141.2120,2.33976e-82,-6.47047e-06
algal,10,3.98916,139.3446,1.34979e-84,-5.68488e-06
algal,10,4.09679,137.5018,7.7853e-87,-5.00323e-06
algal,10,4.20734,135.6835,4.49763e-89,-4.41075e-06
algal,10,4.32086,133.8892,2.60699e-91,-3.89492e-06
algal,10,4.43745,132.1186,1.51867e-93,-3.44508e-06
algal,10,4.55718,130.3715,8.90528e-96,-3.05214e-06
algal,10,4.68014,128.6474,5.26447e-98,-2.70836e-06
algal,10,4.80642,126.9462,3.14211e-100,-2.40709e-06
algal,10,4.93611,125.2674,1.89609e-102,-2.14268e-06
algal,10,5.0693,123.6109,1.15837e-104,-1.91025e-06
algal,10,5.20608,121.9762,7.17386e-107,-1.70562e-06
algal,10,5.34655,120.3632,4.50927e-109,-1.5252e-06
algal,10,5.49082,118.7715,2.88019e-111,-1.36587e-06
algal,10,5.63897,117.2008,1.87149e-113,-1.22498e-06
algal,10,5.79112,115.6510,1.23844e-115,-1.1002e-06
algal,10,5.94738,114.1216,8.35462e-118,-9.89542e-07
algal,10,6.10785,112.6124,5.7514e-120,-8.91259e-07
algal,10,6.27266,111.1232,4.0441e-122,-8.03849e-07
algal,10,6.44191,109.6537,2.90708e-124,-7.26002e-07
algal,10,6.61573,108.2036,2.13822e-126,-6.56578e-07
algal,10,6.79423,106.7727,1.61048e-128,-5.94582e-07
algal,10,6.97756,105.3608,1.24308e-130,-5.39147e-07
algal,10,7.16583,103.9675,9.84028e-133,-4.89513e-07
algal,10,7.35918,102.5926,7.99421e-135,-4.45017e-07
algal,10,7.55775,101.2359,6.66946e-137,-4.05075e-07
algal,10,7.76167,99.8971,5.71772e-139,-3.69178e-07
algal,10,7.9711,98.5761,5.03996e-141,-3.36874e-07
algal,10,8.18618,97.2725,4.57031e-143,-3.0777e-07
algal,10,8.40706,95.9861,4.26585e-145,-2.81516e-07
algal,10,8.6339,94.7168,4.10035e-147,-2.57806e-07
algal,10,8.86687,93.4643,4.06063e-149,-2.36367e-07
algal,10,9.10612,92.2283,4.14489e-151,-2.1696e-07
algal,10,9.35182,91.0086,4.36269e-153,-1.99372e-07
algal,10,9.60415,89.8051,4.73681e-155,-1.83415e-07
algal,10,9.8633,88.6175,5.30713e-157,-1.68922e-07
algal,10,10.1294,87.4456,6.13792e-159,-1.55743e-07
algal,10,10.4027,86.2892,7.32997e-161,-1.43747e-07
algal,10,10.6834,85.1481,9.04121e-163,-1.32815e-07
algal,10,10.9717,84.0221,1.15215e-164,-1.22843e-07
algal,10,11.2677,82.9110,1.51722e-166,-1.13737e-07
algal,10,11.5718,81.8146,2.06512e-168,-1.05414e-07
algal,10,11.884,80.7327,2.90593e-170,-9.77974e-08
algal,10,12.2047,79.6650,4.2281e-172,-9.08215e-08
algal,10,12.534,78.6115,6.36201e-174,-8.44258e-08
algal,10,12.8722,77.5720,9.90137e-176,-7.85563e-08
algal,10,13.2195,76.5461,1.59405e-177,-7.31646e-08
algal,10,13.5762,75.5339,2.655e-179,-6.8207e-08
algal,10,13.9425,74.5350,4.57529e-181,-6.36444e-08
algal,10,14.3187,73.5494,8.15834e-183,-5.94413e-08
algal,10,14.7051,72.5767,1.50535e-184,-5.55661e-08
algal,10,15.1018,71.6170,2.87443e-186,-5.19898e-08
algal,10,15.5093,70.6699,5.68009e-188,-4.86864e-08
algal,10,15.9278,69.7353,1.1616e-189,-4.56326e-08
algal,10,16.3576,68.8132,2.45847e-191,-4.2807e-08
algal,10,16.7989,67.9032,5.38483e-193,-4.01903e-08
algal,10,17.2522,67.0052,1.2206e-194,-3.7765e-08
algal,10,17.7177,66.1191,2.86325e-196,-3.55153e-08
algal,10,18.1958,65.2447,6.95043e-198,-3.34268e-08
algal,10,18.6867,64.3819,1.74586e-199,-3.14863e-08
algal,10,19.1909,63.5305,4.53761e-201,-2.96819e-08
algal,10,19.7088,62.6904,1.22021e-202,-2.80028e-08
algal,10,20.2405,61.8614,3.3947e-204,-2.6439e-08
algal,10,20.7867,61.0433,9.76985e-206,-2.49815e-08
algal,10,21.3476,60.2361,2.90839e-207,-2.36221e-08
algal,10,21.9236,59.4395,8.95474e-209,-2.23532e-08
algal,10,22.5151,58.6535,2.85128e-210,-2.11679e-08
algal,10,23.1226,57.8778,9.3878e-212,-2.00599e-08
algal,10,23.7465,57.1124,3.19572e-213,-1.90234e-08
algal,10,24.3873,56.3572,1.1246e-214,-1.80531e-08
algal,10,25.0453,55.6119,4.09068e-216,-1.71442e-08
algal,10,25.7211,54.8765,1.53778e-217,-1.62922e-08
algal,10,26.4151,54.1508,5.97354e-219,-1.54929e-08
algal,10,27.1278,53.4347,2.3974e-220,-1.47427e-08
algal,10,27.8598,52.7281,9.93914e-222,-1.4038e-08
algal,10,28.6115,52.0308,4.25586e-223,-1.33756e-08
algal,10,29.3835,51.3427,1.88184e-224,-1.27527e-08
algal,10,30.1763,50.6638,8.59126e-226,-1.21664e-08
algal,10,30.9906,49.9938,4.04887e-227,-1.16143e-08
algal,10,31.8268,49.3326,1.9694e-228,-1.10941e-08
algal,10,32.6855,48.6803,9.88494e-230,-1.06036e-08
algal,10,33.5675,48.0365,5.11888e-231,-1.01409e-08
algal,10,34.4732,47.4013,2.73433e-232,-9.70404e-09
algal,10,35.4034,46.7744,1.50631e-233,-9.29144e-09
